21208	1412	-1024	Sam H. Noh	2021	2
21209	1321	2298	Ilwoo Lyu	2021	2
21210	1465	2255	Youngbin Im	2021	2
21211	1471	3450	Kyungdon Joo	2021	2
21212	1472	2298	Ilwoo Lyu	2021	2
21213	2112	-1020	Michael Burrell	2021	2
21214	2111	-1013	Joong Soo Ma	2021	2
21215	2117	2205	Seungryul Baek	2021	2
21216	2117	-1021	Miran Kim	2021	2
21217	2117	2138	Tsz-Chiu Au	2021	2
21218	3203	-1019	Lee Jungjin	2021	2
21219	3203	-1015	Jung Eun Kim	2021	2
21220	3203	-1007	Hyeungjoon Kim	2021	2
22101	1241	-1020	Michael Burrell	2022	1
22102	1251	2255	Youngbin Im	2022	1
22103	1311	2143	Woongki Baek	2022	1
22104	1331	3452	Seulki Lee	2022	1
22105	1333	2281	Jaeyeon Lee	2022	1
22106	1364	2123	Jooyong Yi	2022	1
22107	1463	-1016	Kwang In Kim	2022	1
22108	1467	2257	Yuseok Jeon	2022	1
22109	1469	2281	Jaeyeon Lee	2022	1
22110	2111	-1013	Joong Soo Ma	2022	1
22111	2117	-1006	Hyeonwoo Yu	2022	1
22112	3203	-1019	Lee Jungjin	2022	1
22201	2112	-1020	Michael Burrell	2022	2
22202	1221	3454	Taehwan Kim	2022	2
22203	1261	-1024	Sam H. Noh	2022	2
22204	1271	3452	Seulki Lee	2022	2
22205	1302	2253	Hyungon Moon	2022	2
22206	1321	2256	Junghoon Kim	2022	2
22207	1332	2297	Mijung Kim	2022	2
22208	1362	2138	Tsz-Chiu Au	2022	2
22209	1403	-1008	Hyounghun Kim	2022	2
22210	1412	2251	Myeongjae Jeon	2022	2
22211	1471	2298	Ilwoo Lyu	2022	2
22212	1472	2205	Seungryul Baek	2022	2
22213	2111	-1013	Joong Soo Ma	2022	2
22214	2117	-1027	Seungyul Han	2022	2
22215	2117	3450	Kyungdon Joo	2022	2
22216	3203	-1015	Jung Eun Kim	2022	2
22217	3203	-1019	Lee Jungjin	2022	2
